treatment,query,label,median_ms,plan_node,shared_blocks
T0_baseline,Q1,point lookup by name,17.159,Seq Scan,15610
T0_baseline,Q2,range scan by level,14.358,Seq Scan,15610
T0_baseline,Q3,two low-cardinality predicates (BitmapAnd),18.007,Seq Scan,15610
T0_baseline,Q4,full-text body search,81.204,Seq Scan,54921
T0_baseline,Q5,class-membership join,63.252,Seq Scan,310496
T0_baseline,Q6,Top-N ordered browse,21.69,Seq Scan,46830
T0_baseline,Q7,array dimension join,2.668,Seq Scan,12504
T1_btree,Q1,point lookup by name,13.228,Seq Scan,15610
T1_btree,Q2,range scan by level,1.284,Bitmap Heap Scan (ix_spell_level),1804
T1_btree,Q3,two low-cardinality predicates (BitmapAnd),17.139,Seq Scan,15610
T1_btree,Q4,full-text body search,78.38,Seq Scan,54921
T1_btree,Q5,class-membership join,64.337,Seq Scan,310496
T1_btree,Q6,Top-N ordered browse,1.521,Index Scan (ix_spell_level),5961
T1_btree,Q7,array dimension join,2.669,Seq Scan,12504
T2_hash,Q1,point lookup by name,0.003,Index Scan (ix_spell_name_hash),2
T2_hash,Q2,range scan by level,1.248,Bitmap Heap Scan (ix_spell_level),1804
T2_hash,Q3,two low-cardinality predicates (BitmapAnd),20.315,Seq Scan,15610
T2_hash,Q4,full-text body search,78.119,Seq Scan,54921
T2_hash,Q5,class-membership join,64.605,Seq Scan,310496
T2_hash,Q6,Top-N ordered browse,1.523,Index Scan (ix_spell_level),5961
T2_hash,Q7,array dimension join,2.677,Seq Scan,12504
T3_gin,Q1,point lookup by name,0.004,Index Scan (ix_spell_name_hash),2
T3_gin,Q2,range scan by level,1.24,Bitmap Heap Scan (ix_spell_level),1804
T3_gin,Q3,two low-cardinality predicates (BitmapAnd),20.871,Seq Scan,15610
T3_gin,Q4,full-text body search,3.96,Bitmap Heap Scan (ix_spell_body_gin),7622
T3_gin,Q5,class-membership join,62.763,Seq Scan,310496
T3_gin,Q6,Top-N ordered browse,1.508,Index Scan (ix_spell_level),5961
T3_gin,Q7,array dimension join,2.68,Seq Scan,12504
T4_bitmap,Q1,point lookup by name,0.004,Index Scan (ix_spell_name_hash),2
T4_bitmap,Q2,range scan by level,1.273,Bitmap Heap Scan (ix_spell_level),1804
T4_bitmap,Q3,two low-cardinality predicates (BitmapAnd),2.547,BitmapAnd (ix_spell_school+ix_spell_conc),2670
T4_bitmap,Q4,full-text body search,3.787,Bitmap Heap Scan (ix_spell_body_gin),7622
T4_bitmap,Q5,class-membership join,62.38,Seq Scan,310496
T4_bitmap,Q6,Top-N ordered browse,1.491,Index Scan (ix_spell_level),5961
T4_bitmap,Q7,array dimension join,2.696,Seq Scan,12504
T5_join,Q1,point lookup by name,0.004,Index Scan (ix_spell_name_hash),2
T5_join,Q2,range scan by level,1.262,Bitmap Heap Scan (ix_spell_level),1804
T5_join,Q3,two low-cardinality predicates (BitmapAnd),2.588,BitmapAnd (ix_spell_school+ix_spell_conc),2670
T5_join,Q4,full-text body search,3.75,Bitmap Heap Scan (ix_spell_body_gin),7622
T5_join,Q5,class-membership join,33.348,Index Only Scan (ix_spellclass_class),307596
T5_join,Q6,Top-N ordered browse,1.529,Index Scan (ix_spell_level),5961
T5_join,Q7,array dimension join,1.283,Index Only Scan (ix_spelldamage_type),11878
